Country,Province,City,Pop.,ABBR,Rent,Total COL,Sal,QOL,Prov. ABBR,Lat,Long,Snow Days/Y,Snow Fall/Y,Total Temps Ave,Summer Temps Ave,Spring Temps Ave,Winter Temps Ave,Fall Temps Ave,Highest 3 Year,Lowest 3 Year,Most Days,Sunny Days/Y,Hours Rained/Y,Winter Daylight,Cluster,Ben Score
Belgium,Brussels,Anderlecht,"125,883",BE,0.71548182631273,0.7668717883914287,0.5884962738178368,-0.049977026759202514,,50.8390983,4.3296526,-0.47465625278312523,-0.41268856796858616,-0.1861006368379693,-0.6531224373518325,-0.12173181726980548,0.12308756663135251,-0.10548652386634105,17.7,-0.7,Overcast,-0.7945169887379236,0.5895363789486182,-0.3355913879949705,0,-4
Belgium,Flanders,Antwerp,"542,417",BE,0.3578328942910608,0.6341420953444096,0.4921427485036943,1.0656118586962129,,51.2211097,4.3997081,-0.33548246022311573,-0.4138759624903273,-0.2145972173326689,-0.6879839428600761,-0.1464405432085177,0.12740857060125238,-0.16296842701364314,17.3,-1.5,Overcast,-0.770088290176784,0.5663460947574962,-0.39797539229900875,0,2
Belgium,Flanders,Bruges,"119,748",BE,0.6347223900497725,0.727613710166254,0.1509564949323047,0.39625852742296364,,51.2085526,3.226772,-0.5210475169697951,-0.47621417488173357,-0.31916245896367784,-0.9780854742277187,-0.3885599106079577,0.20748504842641835,-0.16472359962882846,17.2,-3.5,Overcast,-0.770088290176784,0.6808481229511605,-0.39797539229900875,0,-2
Belgium,Brussels,Brussels,"195,546",BE,1.0039083843947214,1.026722877596156,0.9186255654679313,1.0656118586962129,,50.8465573,4.351697,-0.47465625278312523,-0.41268856796858616,-0.20094685942937385,-0.6667980118598891,-0.13872723722765046,0.11086004475908245,-0.11908911163402416,17.7,-0.7,Overcast,-0.7945169887379236,0.5895363789486182,-0.3355913879949705,2,0
Belgium,Wallonia,Charleroi,"203,950",BE,0.4126339403266392,0.4471988657007207,0.03959709272497616,0.7681214892414354,,50.4116233,4.444528,-0.33548246022311573,-0.4530599817077827,-0.36833874833324026,-0.8235066443374651,-0.3460713607133481,-0.01610392295223162,-0.2698145599630172,17.2,-1.8,Overcast,-0.7456595916156448,0.8221639172408092,-0.2622063179041277,0,0
Belgium,Flanders,Ghent,"269,191",BE,0.484740579847137,0.6210560692693513,0.4139542320602509,0.7681214892414354,,51.0538286,3.7250121,-0.567438781156465,-0.4518725871860416,-0.23253518765430634,-0.7305799946064852,-0.20814699105545947,0.1525991043832218,-0.16702726368625795,17.5,-2.0,Overcast,-0.8678030844213419,0.4083622837054791,-0.3728848303934997,0,0
Belgium,Wallonia,Liège,"194,994",BE,0.07805913295152926,0.22473642242473094,0.6627358752893892,-0.19872221148659122,,50.6450944,5.5736112,-0.14991740347643637,-0.08556137722892071,-0.21173880905377382,-0.6067151599228504,-0.1568992631825756,0.062133829779360064,-0.14508760599644765,17.7,-1.9,Overcast,-0.5502300031265295,1.0859533999148199,-0.29870088609231726,0,-4
Belgium,Flemish,Leuven,"103,868",BE,0.9087276202276642,0.7257442778698171,0.7804135414517434,1.0656118586962129,,50.879202,4.7011675,-0.3664099696808957,-0.3574747227076265,-0.23621028401288557,-0.7056949327967407,-0.2146836910392459,0.10203416430992535,-0.13938329499709767,18.1,-1.3,Overcast,-0.7212308930545054,0.4301031751346558,-0.3355913879949705,2,0
Belgium,Wallonia,Namur,"114,007",BE,0.04633221156251022,0.20417266716392515,0.02143208385427718,-0.27309480385028556,,50.4665284,4.8661892,-0.25816368657866595,-0.3200717952727826,-0.2988035918344047,-0.7720550976227233,-0.26436261091602054,0.037954594798856475,-0.19170937858729392,17.9,-2.9,Overcast,-0.6723734959322265,1.038123438770631,-0.2622063179041277,0,-4
Belgium,Brussels,Schaerbeek,"129,853",BE,0.6837549049237109,0.7014416580161376,0.7180206848958642,0.024395565604491843,,50.8676041,4.3737121,-0.47465625278312523,-0.41268856796858616,-0.20890956820629603,-0.6741962734790016,-0.14748641520592407,0.10479225195028677,-0.12720678497925325,17.7,-0.7,Overcast,-0.7945169887379236,0.5895363789486182,-0.3355913879949705,0,-4
Austria,Styria,Graz,"305,323",AT,0.008836759011851351,0.38550759991830336,0.4818755695767775,0.7681214892414354,,47.0708678,15.4382786,-0.11898989401865642,-0.260702069185729,-0.5701482063095175,-0.1179815135693261,-0.38110807262644125,-0.8116283346872059,-0.7406396139863356,18.4,-6.5,Overcast,-0.4769439074431112,-0.49171062146243705,0.27390976084918095,0,5
Austria,Tyrol,Innsbruck,"132,471",AT,0.8625793709345456,0.8192158926916615,0.5553253880539516,0.5450037121503524,,47.2654296,11.3927685,2.880978523385993,4.688358297431062,-0.4748873753006261,-0.3610031982698854,-0.4323558004993251,-0.5119161444345748,-0.4591538058260759,18.0,-8.7,Overcast,-0.7212308930545054,1.5301922814509972,0.24277689737701588,3,-5
Austria,Carinthia,Klagenfurt,"105,280",AT,0.20785108408842534,0.3817687353254296,-0.06228491354981378,0.2475133426955749,,46.623943,14.3075976,0.2521402194747023,0.4760762315546069,-0.6199953466016781,-0.12123226488681495,-0.48883288835923755,-0.9329841908631177,-0.6897396081459775,15.7,-4.9,Overcast,-1.0143752757881783,-0.17646769573937462,0.3353295742423632,0,0
Austria,Upper Austria,Linz,"213,574",AT,0.19342975618432579,0.52571502215107,0.297856131886653,0.470631119786658,,48.3059078,14.286198,0.592342823510281,0.17447802303237422,-0.3542508789586864,-0.11450657250580352,-0.22095892302368025,-0.4816691166452754,-0.4601410904221168,15.5,-3.5,Overcast,-0.037227333342601816,0.24240681246276313,0.08266720339282589,0,2
